Timestamp,Class,Confidence
2026-08-27 23:35:49,truck,0.42
2026-08-27 23:36:10,truck,0.41
2026-08-27 23:36:10,car,0.46
2026-08-27 23:36:11,car,0.65
2026-08-27 23:36:11,car,0.54
2026-08-27 23:36:11,car,0.46
2026-08-27 23:36:12,truck,0.46
2026-08-27 23:36:12,bus,0.45
2026-08-27 23:36:13,truck,0.52
2026-08-27 23:36:13,bus,0.55
2026-08-27 23:36:13,car,0.53
2026-08-27 23:36:13,car,0.54
2026-08-27 23:36:14,car,0.56
2026-08-27 23:36:14,car,0.44
2026-08-27 23:36:14,car,0.55
2026-08-27 23:36:14,bus,0.41
2026-08-27 23:36:15,bus,0.43
2026-08-27 23:36:15,truck,0.44
2026-08-27 23:36:15,truck,0.41
2026-08-27 23:36:16,truck,0.45
2026-08-27 23:36:16,truck,0.48
2026-08-27 23:36:17,car,0.46
2026-08-27 23:36:17,bus,0.54
2026-08-27 23:36:17,truck,0.41
2026-08-27 23:36:17,car,0.50
2026-08-27 23:36:17,car,0.49
2026-08-27 23:36:18,car,0.42
2026-08-27 23:36:18,car,0.49
2026-08-27 23:36:18,car,0.47
2026-08-27 23:36:18,car,0.56
2026-08-27 23:36:18,car,0.49
2026-08-27 23:36:18,car,0.62
2026-08-27 23:36:18,bus,0.41
2026-08-27 23:36:19,car,0.58
2026-08-27 23:36:19,car,0.45
2026-08-27 23:36:19,car,0.44
2026-08-27 23:36:20,truck,0.42
2026-08-27 23:36:20,truck,0.41
2026-08-27 23:36:20,bus,0.59
2026-08-27 23:36:21,car,0.45
2026-08-27 23:36:21,bus,0.42
2026-08-27 23:36:21,car,0.42
2026-08-27 23:36:21,car,0.48
2026-08-27 23:36:21,truck,0.43
2026-08-27 23:36:21,car,0.46
2026-08-27 23:36:21,bus,0.46
2026-08-27 23:36:21,car,0.43
2026-08-27 23:36:21,truck,0.42
2026-08-27 23:36:22,truck,0.41
2026-08-27 23:36:22,car,0.57
2026-08-27 23:36:22,car,0.45
2026-08-27 23:36:22,car,0.40
2026-08-27 23:36:22,car,0.52
2026-08-27 23:36:23,car,0.44
2026-08-27 23:36:23,bus,0.42
2026-08-27 23:36:23,bus,0.58
2026-08-27 23:36:23,bus,0.45
2026-08-27 23:36:24,car,0.51
2026-08-27 23:36:24,bus,0.51
2026-08-27 23:36:24,car,0.47
2026-08-27 23:36:24,truck,0.40
2026-08-27 23:36:25,bus,0.54
2026-08-27 23:36:25,car,0.52
2026-08-27 23:36:25,car,0.46
2026-08-27 23:36:25,car,0.42
2026-08-27 23:36:25,bus,0.40
2026-08-27 23:44:34,bus,0.17
2026-08-27 23:44:35,bus,0.31
2026-08-27 23:44:35,bus,0.19
2026-08-27 23:44:36,car,0.20
2026-08-27 23:44:36,bus,0.17
2026-08-27 23:44:41,car,0.25
2026-08-27 23:44:41,bus,0.44
2026-08-27 23:44:42,truck,0.26
2026-08-27 23:44:42,car,0.22
2026-08-27 23:44:42,bus,0.21
2026-08-27 23:44:42,bus,0.28
2026-08-27 23:44:42,truck,0.17
2026-08-27 23:44:43,bus,0.63
2026-08-27 23:44:43,truck,0.26
2026-08-27 23:44:43,bus,0.16
2026-08-27 23:44:43,bus,0.29
2026-08-27 23:44:43,truck,0.22
2026-08-27 23:44:44,bus,0.48
2026-08-27 23:44:44,truck,0.30
2026-08-27 23:44:44,bus,0.27
2026-08-27 23:44:44,car,0.20
2026-08-27 23:44:45,car,0.17
2026-08-27 23:44:45,bus,0.16
2026-08-27 23:44:45,bus,0.64
2026-08-27 23:44:45,car,0.64
2026-08-27 23:44:46,car,0.53
2026-08-27 23:44:46,bus,0.50
2026-08-27 23:44:46,truck,0.45
2026-08-27 23:44:46,car,0.35
2026-08-27 23:44:47,car,0.45
2026-08-27 23:44:47,truck,0.24
2026-08-27 23:44:47,car,0.36
2026-08-27 23:44:47,truck,0.26
2026-08-27 23:44:47,car,0.35
2026-08-27 23:44:47,truck,0.20
2026-08-27 23:44:48,truck,0.61
2026-08-27 23:44:48,bus,0.40
2026-08-27 23:44:48,truck,0.36
2026-08-27 23:44:48,car,0.32
2026-08-27 23:44:49,bus,0.62
2026-08-27 23:44:49,truck,0.41
2026-08-27 23:44:49,bus,0.50
2026-08-27 23:44:49,truck,0.35
2026-08-27 23:44:49,car,0.18
2026-08-27 23:44:50,bus,0.55
2026-08-27 23:44:50,bus,0.82
2026-08-27 23:44:50,bus,0.83
2026-08-27 23:44:51,bus,0.79
2026-08-27 23:44:51,bus,0.58
2026-08-27 23:44:51,truck,0.28
2026-08-27 23:44:52,bus,0.50
2026-08-27 23:44:52,truck,0.34
2026-08-27 23:44:52,bus,0.49
2026-08-27 23:44:52,truck,0.30
2026-08-27 23:44:52,truck,0.17
2026-08-27 23:44:52,bus,0.38
2026-08-27 23:44:52,truck,0.20
2026-08-27 23:44:52,truck,0.18
2026-08-27 23:44:52,fire engine,0.17
2026-08-27 23:44:53,bus,0.35
2026-08-27 23:44:53,truck,0.24
2026-08-27 23:44:53,truck,0.18
2026-08-27 23:44:53,bus,0.36
2026-08-27 23:44:53,truck,0.23
2026-08-27 23:44:53,truck,0.17
2026-08-27 23:44:54,bus,0.38
2026-08-27 23:44:54,truck,0.20
2026-08-27 23:44:54,truck,0.16
2026-08-27 23:44:54,bus,0.30
2026-08-27 23:44:54,car,0.25
2026-08-27 23:44:54,truck,0.17
2026-08-27 23:44:54,bus,0.38
2026-08-27 23:44:54,car,0.30
2026-08-27 23:44:55,bus,0.42
2026-08-27 23:44:55,bus,0.30
2026-08-27 23:44:55,car,0.24
2026-08-27 23:44:55,bus,0.41
2026-08-27 23:44:55,bus,0.30
2026-08-27 23:44:55,car,0.19
2026-08-27 23:45:03,truck,0.46
2026-08-27 23:45:03,bus,0.34
2026-08-27 23:45:03,truck,0.22
2026-08-27 23:45:10,bus,0.67
2026-08-27 23:45:10,truck,0.27
2026-08-27 23:45:11,bus,0.59
2026-08-27 23:45:11,bus,0.38
2026-08-27 23:45:11,car,0.24
2026-08-27 23:45:11,truck,0.21
2026-08-27 23:45:11,bus,0.59
2026-08-27 23:45:11,bus,0.35
2026-08-27 23:45:11,car,0.20
2026-08-27 23:45:12,bus,0.47
2026-08-27 23:45:12,bus,0.17
2026-08-27 23:45:12,bus,0.36
2026-08-27 23:45:12,car,0.24
2026-08-27 23:45:12,truck,0.23
2026-08-27 23:45:12,bus,0.22
2026-08-27 23:45:13,bus,0.58
2026-08-27 23:45:13,truck,0.25
2026-08-27 23:45:13,truck,0.20
2026-08-27 23:45:13,car,0.17
2026-08-27 23:45:13,bus,0.15
2026-08-27 23:45:13,bus,0.48
2026-08-27 23:45:13,bus,0.20
2026-08-27 23:45:14,bus,0.38
2026-08-27 23:45:14,bus,0.28
2026-08-27 23:45:14,truck,0.24
